TripID,Jounery_Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
59771,2022-05-08,INDERLOK,KASHMERE GATE,12.94,77.99,18.27,13,Smart Card,maintenance
21363,2023-01-12,MODEL TOWN,DILSHAD GARDEN,2.33,35.89,83.71,15,Tourist Card,maintenance
127325,2023-07-13,KASHMERE GATE,NETAJI SUBHASH PLACE,5.5600000000000005,64.35,43.7,9,Single,off-peak
140510,2022-11-10,CHANDNI CHOWK,HAUZ KHAS,4.02,144.13,14.98,27,Tourist Card,maintenance
144298,2022-11-06,RAJIV CHOWK,KALKAJI MANDIR,9.66,104.96,83.84,23,Single,off-peak
96371,2024-07-10,KALKAJI MANDIR,SHIVAJI PARK,3.91,29.2,30.64,22,Tourist Card,festival
49743,2022-09-02,MANDI HOUSE,JASOLA VIHAR,1.49,175.32,33.45,14,Tourist Card,peak
47390,2023-12-07,MANDI HOUSE,CENTRAL SECRETARIAT,7.38,167.59,50.69,18,Tourist Card,festival
58379,2024-05-05,AIIMS,CHANDNI CHOWK,2.5700000000000003,125.25,81.71,24,Single,weekend
69048,2022-07-05,NEW DELHI,JASOLA VIHAR,7.58,151.39,37.76,19,Tourist Card,peak
41981,2023-03-19,NEW DELHI,MODEL TOWN,1.04,114.49,107.94,16,Smart Card,festival
88783,2022-07-28,RAJIV CHOWK,KIRTI NAGAR,5.84,66.97,114.12,24,Tourist Card,weekend
70772,2023-02-16,RAJIV CHOWK,NEW DELHI,2.71,157.05,93.1,21,Tourist Card,weekend
20217,2024-04-06,RAJIV CHOWK,LAXMI NAGAR,1.54,162.06,64.45,11,Tourist Card,festival
80725,2024-09-11,RAJOURI GARDEN,BARAKHAMBA ROAD,5.14,59.77,81.08,26,Smart Card,maintenance
96907,2022-07-17,RAJIV CHOWK,KALKAJI MANDIR,1.51,136.28,110.94,21,Tourist Card,off-peak
81422,2024-05-06,RAJIV CHOWK,JANAKPURI WEST,4.76,82.87,33.01,22,Smart Card,maintenance
109510,2023-02-06,LAXMI NAGAR,NETAJI SUBHASH PLACE,2.54,178.92,109.15,26,Smart Card,festival
1877,2023-10-09,NOIDA CITY CENTRE,PUNJABI BAGH,5.54,31.78,68.13,15,Tourist Card,peak
46384,2024-08-04,RAJOURI GARDEN,HAUZ KHAS,2.98,195.57,50.13,19,Single,maintenance
7488,2024-11-18,NEW DELHI,KALKAJI MANDIR,13.19,38.99,57.61,15,Smart Card,maintenance
18049,2022-02-03,MODEL TOWN,KALKAJI MANDIR,3.09,60.74,63.6,25,Tourist Card,festival
29282,2022-10-20,NOIDA CITY CENTRE,MANDI HOUSE,6.2,78.87,36.76,25,Tourist Card,maintenance
51011,2024-10-09,JANAKPURI WEST,KALKAJI MANDIR,1.0,67.8,53.12,25,Smart Card,festival
76505,2022-11-11,NOIDA CITY CENTRE,CHANDNI CHOWK,4.0,14.2,118.29,18,Single,festival
134481,2023-12-11,MANDI HOUSE,BARAKHAMBA ROAD,9.7,184.96,58.18,28,Tourist Card,maintenance
100165,2023-08-10,CENTRAL SECRETARIAT,SHIVAJI PARK,16.02,136.13,24.24,11,Tourist Card,weekend
25706,2023-08-12,RAJIV CHOWK,OLD DELHI,8.1,44.74,21.62,16,Tourist Card,festival
96399,2024-06-01,JANAKPURI WEST,SHIVAJI PARK,1.63,42.97,32.26,20,Tourist Card,maintenance
33117,2022-05-10,INDERLOK,PUNJABI BAGH,18.98,126.38,71.95,15,Smart Card,weekend
924,2024-05-25,RAJIV CHOWK,KIRTI NAGAR,1.51,124.59,6.49,18,Tourist Card,weekend
74297,2022-01-09,DILSHAD GARDEN,CHANDNI CHOWK,1.27,162.81,26.6,16,Tourist Card,peak
103669,2023-10-31,RAJIV CHOWK,NOIDA CITY CENTRE,9.82,176.13,43.22,17,Tourist Card,festival
100419,2022-06-08,HAUZ KHAS,PRAGATI MAIDAN,0.88,135.12,21.57,15,Tourist Card,festival
99126,2024-05-27,NEW DELHI,CENTRAL SECRETARIAT,9.24,185.42,22.51,21,Single,peak
39798,2024-02-19,RAJIV CHOWK,INDERLOK,1.02,147.91,82.67,20,Tourist Card,peak
110749,2023-09-12,NEW DELHI,HAUZ KHAS,14.67,182.91,96.78,17,Single,festival
29475,2023-06-26,MANDI HOUSE,LAXMI NAGAR,0.6000000000000001,76.47,106.59,16,Smart Card,festival
62005,2023-01-18,RAJIV CHOWK,JANAKPURI WEST,6.78,161.02,60.57,23,Single,off-peak
56936,2024-07-30,RAJIV CHOWK,HAUZ KHAS,0.99,26.95,56.5,13,Tourist Card,off-peak
24370,2023-09-27,JASOLA VIHAR,SHIVAJI PARK,1.77,182.84,19.75,16,Tourist Card,festival
37241,2024-09-29,NEW DELHI,MODEL TOWN,4.17,161.38,57.22,19,Tourist Card,off-peak
49307,2023-07-31,AIIMS,SHIVAJI PARK,4.63,72.01,62.15,18,Single,weekend
90612,2024-01-24,LAXMI NAGAR,BARAKHAMBA ROAD,5.65,150.46,69.77,20,Smart Card,festival
107702,2023-06-07,NEW DELHI,JANAKPURI WEST,1.63,52.35,24.42,20,Tourist Card,festival
89673,2024-04-01,RAJIV CHOWK,PRAGATI MAIDAN,5.71,34.65,111.5,15,Single,festival
95329,2023-05-29,NOIDA CITY CENTRE,JASOLA VIHAR,1.06,92.35,66.23,23,Smart Card,festival
32514,2023-02-05,KASHMERE GATE,PRAGATI MAIDAN,9.06,108.55,42.8,26,Tourist Card,maintenance
137403,2024-09-22,LAXMI NAGAR,JASOLA VIHAR,6.31,57.52,73.83,27,Smart Card,festival
108661,2024-05-19,MANDI HOUSE,JANAKPURI WEST,3.5,169.1,39.27,19,Single,festival
117163,2023-04-16,RAJIV CHOWK,KASHMERE GATE,3.01,51.86,56.08,24,Smart Card,festival
34128,2022-05-25,MANDI HOUSE,DILSHAD GARDEN,0.89,122.14,50.9,11,Smart Card,festival
75599,2023-01-07,DILSHAD GARDEN,JASOLA VIHAR,6.86,121.6,65.33,14,Single,festival
94661,2023-06-15,JASOLA VIHAR,JANAKPURI WEST,5.72,179.63,73.29,22,Tourist Card,maintenance
15667,2023-08-19,HAUZ KHAS,RAJIV CHOWK,10.82,152.38,111.36,21,Single,festival
102641,2024-01-08,RAJIV CHOWK,JASOLA VIHAR,1.4,145.89,81.22,19,Single,weekend
72836,2023-01-21,RAJIV CHOWK,BARAKHAMBA ROAD,8.08,50.11,79.86,16,Tourist Card,festival
58111,2023-03-05,NOIDA CITY CENTRE,CENTRAL SECRETARIAT,5.83,131.49,60.0,17,Tourist Card,festival
41679,2022-06-30,KASHMERE GATE,BARAKHAMBA ROAD,11.1,190.69,101.44,24,Single,off-peak
111764,2023-06-24,LAXMI NAGAR,MANDI HOUSE,9.7,70.24,47.63,23,Tourist Card,peak
95771,2023-02-01,NOIDA CITY CENTRE,RAJOURI GARDEN,0.91,17.99,19.3,13,Tourist Card,weekend
142843,2023-12-30,KALKAJI MANDIR,JANAKPURI WEST,3.42,168.58,30.6,24,Single,festival
82450,2024-07-18,CENTRAL SECRETARIAT,KIRTI NAGAR,13.75,29.47,62.05,20,Tourist Card,weekend
113687,2024-04-04,MANDI HOUSE,OLD DELHI,7.13,111.57,49.8,31,Single,peak
42247,2023-09-25,MANDI HOUSE,RAJIV CHOWK,0.96,167.81,93.28,13,Smart Card,peak
84726,2024-02-09,NOIDA CITY CENTRE,PRAGATI MAIDAN,3.23,157.11,107.32,26,Tourist Card,weekend
27727,2022-11-03,JASOLA VIHAR,RAJIV CHOWK,2.83,15.82,62.86,18,Smart Card,maintenance
122224,2024-11-27,RAJIV CHOWK,PRAGATI MAIDAN,1.24,169.88,80.35,17,Tourist Card,maintenance
